date,area,var_bkm,var_bl,var_logn,var_norm,ratio_bl_bkm,ratio_logn_bkm,ratio_norm_bkm,logbps_bl_bkm,logbps_logn_bkm,logbps_norm_bkm,K_star,Kmin,Kmax,kstar_pos,n_strikes,edge_mass_bl,parity_med_abs,Kmin_used_put_bkm,Kmax_used_call_bkm,n_puts_bkm,n_calls_bkm,Kmin_put_logn,Kmax_call_logn,rmse_price_logn,sigma_hat_logn,sigma_max_logn,sigma_at_bound_logn,neg_share_bl,var_bl_common_support,var_bl_own_support,mono_viol_count,mono_viol_max_slope,convex_viol_count,convex_viol_min_ddC
2021-08-31,EU,2.8285330026633915e-05,0.0001697549554767,5.745241850243182e-05,8.89084644309848e-05,6.001519350025298,2.031173701997915,3.143271241568157,17920.126621762312,7086.138042971032,11452.64054304367,1.02264,0.99,1.05,0.5439999999999996,7,0.0,0.0014836496453599218,0.970416,1.066416,5,4,0.99,1.05,9.669170715299488e-05,0.0074183206129642,0.3,False,0.1911761059736483,7.260225564886551e-05,7.260225564886551e-05,0,0.0,0,0.0
2018-05-31,EU,2.2304091412461705e-05,0.0001265229444013,5.74284760963024e-05,8.203699262524693e-05,5.67263387068996,2.5747955850026014,3.6781140781824755,17356.535373387287,9457.70146499577,13024.001420639584,1.015903,0.99,1.05,0.4317166666666664,7,0.0,0.0009264750094226024,0.9744582,1.0704582,4,5,0.99,1.05,0.0001443499584771,0.0074536437954198,0.3,False,0.16999835059724733,5.839807829267956e-05,5.839807829267956e-05,0,0.0,0,0.0
2018-01-31,EU,2.4781366523507486e-05,0.0001293633994421,6.707364509650009e-05,8.297032641660612e-05,5.220188294272726,2.7066160791767735,3.348093267491868,16525.334729437353,9956.991753714974,12083.91009913007,1.0145,0.99,1.05,0.4083333333333324,7,0.0021778334423543304,6.543324395752014e-05,0.9753,1.0713,4,5,0.99,1.05,0.0001766191835171,0.0080733512610747,0.3,False,0.09611144856341507,5.9639705980913746e-05,5.9639705980913746e-05,0,0.0,0,0.0
2021-07-30,EU,3.536389733382883e-05,0.000182404737221,5.808026021163643e-05,8.691001641523906e-05,5.157936510762033,1.6423602767355807,2.457591582591214,16405.365984966265,4961.344003217084,8991.818389129472,1.02124,0.99,1.05,0.5206666666666652,7,0.0,0.0013664722727079097,0.971256,1.0672560000000002,5,4,0.99,1.05,6.917845324524787e-05,0.0074675105070745,0.3,False,0.19146119595791766,7.736948224549537e-05,7.736948224549537e-05,0,0.0,0,0.0
2018-10-31,EU,2.2646915238011545e-05,0.0001152331590857,5.717201814296673e-05,8.044593892405432e-05,5.088249674387605,2.5244947288452453,3.5521808634240783,16269.338960578467,9260.409353151468,12675.617425903865,1.014501,0.99,1.05,0.4083500000000014,7,0.0,0.0004921969131816773,0.9752994,1.0712994,4,5,0.99,1.05,0.000132511701778,0.0074498790344356,0.3,False,0.14147801060556459,4.969963186539295e-05,4.969963186539295e-05,0,0.0,0,0.0
2021-01-29,EU,2.213306939324866e-05,0.0001099457758941,6.497444745917078e-05,8.175780772746203e-05,4.967488871093191,2.9356275130546634,3.693920905177221,16029.144550977302,10769.212338531443,13066.884698470081,1.01493,0.99,1.05,0.4155000000000016,7,0.0019769245618977208,3.249697138777829e-05,0.975042,1.071042,4,5,0.99,1.05,0.0002402354541023,0.0079426073916468,0.3,False,0.14448398585697686,5.4803449208543054e-05,5.4803449208543054e-05,0,0.0,0,0.0
2018-06-29,EU,2.6595028240539165e-05,0.0001279660498017,6.808992821678859e-05,8.390799415447862e-05,4.811653089604011,2.5602502693716502,3.155025570778465,15710.407027463778,9401.050151864305,11489.966008029522,1.017025,0.99,1.05,0.4504166666666675,7,0.0,1.743986024088087e-05,0.973785,1.069785,4,5,0.99,1.05,0.0001946239884959,0.0081157866838942,0.3,False,0.08127063546685706,5.233456152970444e-05,5.233456152970444e-05,0,0.0,0,0.0
2017-11-30,EU,3.135833823764145e-05,0.0001417830953377,7.680247840377155e-05,8.415685958595955e-05,4.521384209304339,2.4491884047471335,2.6837155383743814,15088.181879584721,8957.567063082888,9872.022292804844,1.01428,0.99,1.05,0.4046666666666676,7,0.0030763160990833604,0.0005251086496333686,0.975432,1.071432,4,5,0.99,1.05,0.0001626647361128,0.0086446256295736,0.3,False,0.03688994647663297,6.96827999077525e-05,6.96827999077525e-05,0,0.0,0,0.0
2011-04-29,EU,2.9750851056942196e-05,0.0001336903448247,7.470410123694127e-05,0.0001036584603244,4.493664553286807,2.5109903946599195,3.4842183212170466,15026.685277388317,9206.772548634399,12482.437209813288,1.0241,0.99,1.05,0.5683333333333331,7,0.030675504731492553,0.0023933966689909554,0.96954,1.0655400000000002,5,4,0.99,1.05,0.0002034166839683,0.0084281902927533,0.3,False,0.052934383835968685,0.000140141874782194,0.000140141874782194,0,0.0,0,0.0
2018-02-28,EU,2.966312596686116e-05,0.0001329063930192,6.807017552229248e-05,8.111525799734122e-05,4.480525524102751,2.294774178498158,2.734548546500435,14997.403440344817,8306.34441502631,10059.663569842513,1.01302,0.99,1.05,0.383666666666667,7,0.005345724970549333,0.0006223532303290692,0.976188,1.072188,4,5,0.99,1.05,0.0001706690808117,0.0081497266818709,0.3,False,0.057632631834958474,7.586577724375305e-05,7.586577724375305e-05,0,0.0,0,0.0
2011-02-28,EU,3.684857973462741e-05,0.0001646962845887,7.708260073131443e-05,9.231583710604092e-05,4.4695422666162585,2.0918744029332874,2.5052753123965923,14972.860021776996,7380.605075616206,9183.9863364604,1.02345,0.99,1.05,0.5574999999999992,7,0.0004665107047112675,9.325532978922803e-05,0.96993,1.06593,5,4,0.99,1.05,0.0003534745237678,0.0085935826459922,0.3,False,0.10879365085267452,6.689364929603623e-05,6.689364929603623e-05,0,0.0,0,0.0
2017-10-31,EU,3.2618704157272305e-05,0.0001416343363308,7.381383956176087e-05,8.307026099137129e-05,4.342120264738336,2.2629298578466948,2.546706349548509,14683.627690776615,8166.603709640989,9348.008966723628,1.01365,0.99,1.05,0.39416666666666544,7,0.005736386882812178,0.0008430992488519112,0.97581,1.0718100000000002,4,5,0.99,1.05,0.0001289064080285,0.0084813891348102,0.3,False,0.02412019334897378,8.505192637632629e-05,8.505192637632629e-05,0,0.0,0,0.0
2017-02-28,EU,3.413531412288506e-05,0.0001456923346542,8.259307333487386e-05,8.700771836245661e-05,4.268082435969775,2.4195785349313725,2.5489063334596116,14511.646481474883,8835.93365881867,9356.643783318426,1.01433,0.99,1.05,0.40549999999999903,7,0.0,3.77963858156213e-05,0.975402,1.0714020000000002,4,5,0.99,1.05,0.0001600160408933,0.0089588945002333,0.3,False,0.06455555085777769,6.313597230475811e-05,6.313597230475811e-05,0,0.0,0,0.0
2017-12-29,EU,3.005359062369095e-05,0.0001240272289021,7.893565610989524e-05,8.575764235076584e-05,4.1268689141033095,2.62649668381619,2.8534907334221185,14175.189872670342,9656.50898824442,10485.430635466046,1.01368,0.99,1.05,0.39466666666666506,7,0.0017313764455058793,3.028229819388318e-05,0.975792,1.071792,4,5,0.99,1.05,0.0002553918078064,0.0087655743794685,0.3,False,0.10054917955793459,5.9860651637652874e-05,5.9860651637652874e-05,0,0.0,0,0.0
2021-09-30,EU,2.102727313091357e-05,8.535399984389331e-05,5.7527585836367386e-05,9.704236853149931e-05,4.059204410980222,2.7358557373657066,4.615071480135357,14009.86996524741,10064.442707991433,15293.273564882493,1.02845,0.99,1.05,0.6408333333333344,7,0.0,0.0029725426351448004,0.96693,1.06293,5,4,0.99,1.05,0.0001771908364731,0.0073913638113295,0.3,False,0.3076007606956564,5.473452097836461e-05,5.473452097836461e-05,0,0.0,0,0.0
